Date-Time,"Space Temperature (No Units)"
2024-12-15 00:10:09,68.5
2024-12-15 00:15:09,69
2024-12-15 00:20:09,69
2024-12-15 00:25:09,68.5
2024-12-15 00:30:09,69
2024-12-15 00:35:09,69
2024-12-15 00:40:09,68.5
2024-12-15 00:45:09,68.5
2024-12-15 00:50:09,69
2024-12-15 00:55:09,69
2024-12-15 01:00:09,68.5
2024-12-15 01:05:09,69
2024-12-15 01:10:09,69
2024-12-15 01:15:09,68.5
2024-12-15 01:20:09,68.5
2024-12-15 01:25:09,69
2024-12-15 01:30:09,69
2024-12-15 01:35:09,68.5
2024-12-15 01:40:10,69
2024-12-15 01:45:09,69
2024-12-15 01:50:09,69
2024-12-15 01:55:09,69
2024-12-15 02:00:09,69
2024-12-15 02:05:09,69
2024-12-15 02:10:09,69
2024-12-15 02:15:09,69
2024-12-15 02:20:09,69
2024-12-15 02:25:09,69
2024-12-15 02:30:09,69
2024-12-15 02:35:09,69
2024-12-15 02:40:09,69
2024-12-15 02:45:09,69
2024-12-15 02:50:09,69
2024-12-15 02:55:09,69
2024-12-15 03:00:09,69
2024-12-15 03:05:09,69
2024-12-15 03:10:09,69
2024-12-15 03:15:09,69
2024-12-15 03:20:09,69
2024-12-15 03:25:09,69
2024-12-15 03:30:09,69
2024-12-15 03:35:09,69
2024-12-15 03:40:09,69
2024-12-15 03:45:09,69
2024-12-15 03:50:09,69
2024-12-15 03:55:09,69
2024-12-15 04:00:09,69
2024-12-15 04:05:09,69
2024-12-15 04:10:09,69
2024-12-15 04:15:09,69
2024-12-15 04:20:09,69
2024-12-15 04:25:09,69
2024-12-15 04:30:09,69
2024-12-15 04:35:09,69
2024-12-15 04:40:09,69
2024-12-15 04:45:09,69
2024-12-15 04:50:09,69
2024-12-15 04:55:09,69
2024-12-15 05:00:09,69
2024-12-15 05:05:09,69
2024-12-15 05:10:09,69
2024-12-15 05:15:09,69
2024-12-15 05:20:09,69
2024-12-15 05:25:09,69
2024-12-15 05:30:09,69
2024-12-15 05:35:09,68.5
2024-12-15 05:40:09,68.5
2024-12-15 05:45:09,69
2024-12-15 05:50:09,69
2024-12-15 05:55:09,69
2024-12-15 06:00:09,69
2024-12-15 06:05:09,69
2024-12-15 06:10:09,69
2024-12-15 06:15:09,69
2024-12-15 06:20:09,69
2024-12-15 06:25:09,68.5
2024-12-15 06:30:09,68.5
2024-12-15 06:35:09,69
2024-12-15 06:40:09,69
2024-12-15 06:45:09,69
2024-12-15 06:50:09,69
2024-12-15 06:55:09,69
2024-12-15 07:00:09,69
2024-12-15 07:05:09,69
2024-12-15 07:10:09,69
2024-12-15 07:15:09,69
2024-12-15 07:20:09,68.5
2024-12-15 07:25:09,69
2024-12-15 07:30:09,69
2024-12-15 07:35:09,69
2024-12-15 07:40:09,69
2024-12-15 07:45:09,69
2024-12-15 07:50:09,69
2024-12-15 07:55:09,69
2024-12-15 08:00:09,69
2024-12-15 08:05:09,68.5
2024-12-15 08:10:09,69
2024-12-15 08:15:09,69
2024-12-15 08:20:09,68.5
2024-12-15 08:25:09,68.5
2024-12-15 08:30:09,69
2024-12-15 08:35:09,69
2024-12-15 08:40:09,69
2024-12-15 08:45:09,69
2024-12-15 08:50:09,69
2024-12-15 08:55:09,69
2024-12-15 09:00:09,69
2024-12-15 09:05:09,69
2024-12-15 09:10:09,69
2024-12-15 09:15:09,69
2024-12-15 09:20:09,69
2024-12-15 09:25:09,68.5
2024-12-15 09:30:09,69
2024-12-15 09:35:09,69
2024-12-15 09:40:09,69
2024-12-15 09:45:09,68.5
2024-12-15 09:50:09,69
2024-12-15 09:55:09,69
2024-12-15 10:00:09,68.5
2024-12-15 10:05:09,68.5
2024-12-15 10:10:09,69
2024-12-15 10:15:09,69
2024-12-15 10:20:09,68.5
2024-12-15 10:25:09,68.5
2024-12-15 10:30:09,69
2024-12-15 10:35:09,69
2024-12-15 10:40:09,68.5
2024-12-15 10:45:09,69
2024-12-15 10:50:09,69
2024-12-15 10:55:09,68.5
2024-12-15 11:00:09,68.5
2024-12-15 11:05:09,69
2024-12-15 11:10:09,69
2024-12-15 11:15:09,68.5
2024-12-15 11:20:09,68.5
2024-12-15 11:25:09,69
2024-12-15 11:30:09,69
2024-12-15 11:35:09,68.5
2024-12-15 11:40:09,69
2024-12-15 11:45:09,69
2024-12-15 11:50:09,69
2024-12-15 11:55:09,68.5
2024-12-15 12:00:09,69
2024-12-15 12:05:09,69
2024-12-15 12:10:09,69
2024-12-15 12:15:09,68.5
2024-12-15 12:20:09,69
2024-12-15 12:25:09,69
2024-12-15 12:30:09,69
2024-12-15 12:35:09,68.5
2024-12-15 12:40:09,69
2024-12-15 12:45:09,69
2024-12-15 12:50:09,68.5
2024-12-15 12:55:09,68.5
2024-12-15 13:00:09,69
2024-12-15 13:05:09,69
2024-12-15 13:10:09,69
